分類,編號,前置技能,技能樹順序,名稱,英文,日文,簡體中文
,12,5,9,大師級精鍊技術,Expert's Refinement,匠の精錬技術,大师级精炼技术
,6,0,11,製作裝備,Create Equipment,装備製作,制作装备
,7,6,12,精心打造,Careful Creation,丁寧な工作,精心打造
,13,7,13,大師級製作技術,Expert's Creation,匠の製作技術,大师级制作技术
,8,6,16,強化裝備,Customize Equipment,装備強化,强化装备
,9,8,17,正確的強化,Accurate Customization,正確な強化,正确的强化
,14,9,18,大師級強化技術,Expert's Customization,匠の強化技術,大师级强化技术
,16,14,19,大師級強化技術II,Expert's Customization II,匠の強化技術Ⅱ,大师级强化技术II
,10,-,15,素材加工,Process Materials,素材加工,素材加工
,17,-,5,理解金屬,,,理解金属
,18,-,10,理解布料,,,理解布料
,19,-,14,理解獸品,,,理解兽品
,20,-,20,理解木材,,,理解木材
,21,-,21,理解藥品,,,理解药品
,22,-,22,理解魔素,,,理解魔素
1,1,,E DRB SR H SR H SR H SR H S L E V L SR DRB H2 SR H SR H SR H S L E V L S DR H2 SR H SR H SR H S,鍊金術士,Alchemy Skills,アルケミースキル,链金术士
,0,-,5,合成道具,Item Synthesis ,アイテム合成,合成道具
,1,0,0,新手的藥瓶,Novice's Bottle ,初心者の薬瓶,新手的药瓶
,2,1,1,專家的藥瓶,Craftman's Bottle,職人の薬瓶,专家的药瓶
,3,2,2,合成所的藥瓶,Synthsist's Bottle,合成屋の薬瓶,合成所的药瓶
,9,3,3,大師的藥瓶,Master's Bottle,達人の薬瓶,大师的药瓶
,12,9,4,大師的藥瓶II,Master's Bottle II,達人の薬瓶Ⅱ,大师的药瓶II
,4,0,6,中級合成術,Mid-Class Synthesis ,中級合成術,中级合成术
,5,4,7,高級合成術,High-Class Synthesis ,上級合成術,高级合成术
,10,5,8,大師級合成術,Expert's Synthesis,匠の合成術,大师级合成术
,13,10,9,大師級合成術II,Expert's Synthesis II,匠の合成術Ⅱ,大师级合成术II
,6,-,10,素材加工,Process Materials,素材加工,素材加工
,7,0,11,合成裝備,Synthesize Equipment ,装備合成,合成装备
,8,7,12,合成技術加強I,Technical Synthesis I,合成技術向上Ⅰ,合成技术加强I
,11,8,13,合成技術加強II,Technical Synthesis II,合成技術向上Ⅱ,合成技术加强II
,14,11,14,合成技術加強III,Technical Synthesis III,合成技術向上Ⅲ,合成技术加强III
1,2,,SR DBR SR H S L E V L E DBR SR H S L E V L E DR SR H S,馴獸天分,Tamer Skills,テイマースキル,驯兽天分
,0,-,0,捕獲,Taming,テイミング,捕获
,1,0,1,捕獲技術Ⅰ,Capture Technique I,捕獲技術Ⅰ,捕获技术Ⅰ
,2,1,2,捕獲技術Ⅱ,Capture  Technique II,捕獲技術Ⅱ,捕获技术Ⅱ
,3,0,3,捕捉好手,Skillful Capture,グッドテイム,捕捉好手
,4,3,4,慎重捉拿,Careful Capture,丁寧な捕獲,慎重捉拿
,5,0,5,治療寵物,Pet Heal,ペットヒール,治疗宠物
,6,5,6,充電寵物,Pet MP Charge,ペットチャージ,充电宠物
0,4,,,技能書,Skill Book,Skill Book,技能书
1,0,,SR H SR H SR H S L2 SR H SR H SR H S L2 SR H SR H SR H S,暗黑之力,Dark Power,ダークパワースキル,暗黑之力
,0,-,0,血咬,Bloody Bite,ブラッドバイト,血咬
,1,0,1,暗魔鑽刺,Dark Stinger,ダークスティンガー,暗魔钻刺
,2,1,2,腥紅血淚,Red Tear,レッドティアー,腥红血泪
,6,2,3,獵魂,Soul Hunter,ソウルハント,猎魂
,3,-,4,獻祭,Sacrifice,サクリファイス,献祭
,4,3,5,惡魔狂爪,Demon Claw,デーモンクロウ,恶魔狂爪
,5,4,6,無悔殺意,Regretless,リグレット,无悔杀意
,7,5,7,永恆噩夢,Eternal Nightmare,エータナルナイトメア,永恒噩梦
,8,-,8,威壓魔眼,,,
,9,8,9,魅惑魔眼,,,
,10,9,10,黑炎魔眼,,,
,11,10,11,混沌魔眼,,,
,,,,,,,
1,1,,SR H SR H SR H SR H S L2 SR H SR H SR H SR H S L2 SR H SR H SR H SR H S,魔劍技能,Magic Blade,マジックブレードスキル,魔剑技能
,0,-,0,魔法戰士的要訣,Magic Warrior Mastery,魔法戦士の心得,魔法战士的要诀
,1,0,1,轉化,Conversion,コンバージョン,转化
,2,1,2,魔力共鳴,Resonance,レゾナンス,魔力共鸣
,6,2,3,附魔之咒,Enchanted Spell,エンチャントスペル,附魔之咒
,3,-,5,空靈閃焰,Ether Flare,エーテルフレア,空灵闪焰
,4,3,6,元素斬劈,Element Slash,エレメントスラッシュ,元素斩劈
,5,4,7,附魔劍擊,Enchant Sword,エンチャントソード,附魔剑击
,7,5,8,附魔爆發,Enchanted Burst,エンチャントバースト,附魔爆发
,8,-,10,流轉屏障,Siphon Barrier,,流转屏障
,9,8,11,傳送,Teleport,,传送
,10,9,12,流轉召回,Drain Recall,,流转召回
,11,10,13,飄浮衝刺,Float Dash,,飘浮冲刺
,12,6,4,雙重提供,Dual Bringer,,双重提供
,13,7,9,聯合巨劍,Union Sword,,联合巨剑
,14,11,14,魔法膜,Magic Skin,,魔法膜
1,2,,SR DRB SR H SR H S L E V L E DR S L E4 SR H S,舞者技能,Dancer Skills,ダンサースキル,舞者技能
,0,-,0,妖精之舞,Fairy Dance,妖精の舞,妖精之舞
,1,0,1,激情之舞,Frenzy Dance,激情の舞,激情之舞
,2,1,2,敏捷之舞,Astute Dance,鋭敏な舞,敏捷之舞
,3,2,3,魅惑之舞,Charming Dance,魅惑の舞,魅惑之舞
,4,0,4,援助之舞,Spirited Dance,応援の舞,援助之舞
,5,-,5,優雅架式,Elegant Poise,優雅な構え,优雅架式
,6,5,6,風花雪月,Nature's  Wonders ,花鳥風月,风花雪月
1,3,,"
E3 DRB H2 S L
E3 V L
SR DRB SR DR H2 S L
E V E DRB S L
E DR SR DB E DRB S L
E3 DR SR DB L
E5 DR S L
E4 S",吟遊詩人,Minstrel Skills,ミンストレルスキル,吟游诗人
,0,-,1,治癒之歌,Healing Song,癒しの歌,治愈之歌
,1,0,2,妖精之歌,Fairy Song,妖精の歌,妖精之歌
,2,1,0,熱情之歌,Passion Song,熱情の歌,热情之歌
,3,1,3,智悟之歌,Wisdom Song,智解の歌,智悟之歌
,4,0,5,生命之歌,Life Song,生命の歌,生命之歌
,5,4,4,夢幻之歌,Fantasy Song,夢幻の歌,梦幻之歌
,6,-,9,即興演出,Ad-lib,アドリブ,即兴演出
,7,8,6,聲音之幕,Sound Veil,サウンドヴェール,声音之幕
,8,4,7,節奏衝擊,Beat Blast,ビートブラスト,节奏冲击
,9,8,8,戰鬥樂譜,Battle Antheme,バトルノート,战斗乐谱
,,,,,,,
1,4,,S DRB SR H S L E V E4 S L SRB DRB SR H S L V V L V DR SR H SR H S L V L DR H3 SR H S,徒手戰鬥,Barehand Skills,ベアハンドスキル,徒手战斗
,0,-,0,徒手戰鬥要領,Unarmed Mastery,素手マスタリ,徒手战斗要领
,1,-,4,聚氣功,Qi Charge ,集気功,聚气功
,2,1,1,獅子奮迅,Lion Rage,獅子奮迅,狮子奋迅
,3,1,5,疾風怒濤,Raving Storm,疾風怒涛,疾风怒涛
,4,1,7,回復氣功,Internal Elixir ,回復気功,回复气功
,5,2,2,獅子奮迅．極,Ultima Lion Rage,獅子奮迅･極,狮子奋迅．极
,6,3,6,疾風怒濤．極,Ultima Raving Storm,疾風怒濤･極,疾风怒涛．极
,7,4,8,鬪志衝撞,Clash of Enmity,闘志の衝突,鬪志冲撞
,8,1,10,聚氣功．極,Ultima Qi Charge ,集気功･極,聚气功．极
,9,-,3,驚天動地,Earthshaker,,惊天动地
,10,7,9,起死回生,Miracle Comeback,,起死回生
,11,8,11,自我韜晦,Hidden Talent,,自我韬晦
,,,,,,,
1,5,,SR DRB S L E V L E DR H2 SR H S,忍者技能,Ninja Skills,ニンジャスキル,忍者技能
,0,-,0,忍術,Ninjutsu,忍術,忍术
,1,0,1,忍道,Ninja Spirit,忍道,忍道
,2,0,2,忍術鍛鍊Ⅰ,Ninjutsu Drill I,忍術鍛錬Ⅰ,忍术锻炼Ⅰ
,3,2,3,忍術鍛鍊Ⅱ,Ninjutsu Drill II,忍術鍛錬Ⅱ,忍术锻炼Ⅱ
1,6,,SR H SR H S L2 E4 S L2 SR H SR H S L2 SR H S,游擊隊技能,Partisan Skill,パルチザンスキル,游击队技能
,0,-,0,L迴旋鏢,L Boomerang,Lブーメラン,L回旋镖
,1,0,1,L迴旋鏢II,L Boomerang II,LブーメランII,L回旋镖II
,2,1,2,L迴旋鏢III,L Boomerang III,LブーメランIII,L回旋镖III
,3,-,3,N龍牙擊,N Dragon Tooth,Nドラゴントゥース,N龙牙击
,4,-,4,療傷射擊,Healing Shot,ヒーリングショット,疗伤射击
,5,4,5,磨箭,Arrow Sharpening,矢研ぎ,磨箭
,6,5,6,生存本能,Survival Instinct,生存本能,生存本能
,7,-,7,前線維持,Frontliner,前線維持,前线维持
,8,7,8,前線維持II,Frontliner II,前線維持II,前线维持II
1,7,,E DRB SR H SR H S L E V L SR DRB H2 SR H S L E V L E DR SR H SR H S L2 SR H3 SR H S,死靈法術,Necromancer Skill,,死灵法术
,0,-,3,掘墓人,Grave Digger,,掘墓人
,1,0,0,幻靈飛彈,Phatom Missile,,幻灵飞弹
,2,1,1,盜血,Blood Siphon,,盗血
,3,2,2,靈力流彈,Soul Stream,,灵力流弹
,4,0,4,骸骨召喚,Skeleton Call,,骸骨召唤
,5,4,5,惡魔召喚,Demonic Pact,,恶魔召唤
,6,0,6,優質產具,Fine Shovel,,优质产具
,7,6,7,收穫,Harvest,,收获
,8,7,8,自產自銷,Opportunist,,自产自销
,9,-,9,墓園,Tomb,,墓园
,10,9,10,頭骨震盪,Skull Shaker,,头骨震荡
,11,10,11,危險震盪,Hazard Strike,,危险震荡
1,8,,E DRB SR H S L E V L SR DRB SR H S L E V L E DR SR H S L2 E DRB SR H S L SR D,魔像技能,,,魔像技能
,0,-,2,召喚魔像,,,召唤魔像
,1,0,0,槍兵型．改,,,枪兵型．改
,2,1,1,強化攻擊,,,强化攻击
,3,0,3,盾兵型．改,,,盾兵型．改
,4,3,4,強化盾牌,,,强化盾牌
,5,0,5,破壞者型．改,,,破坏者型．改
,6,5,6,強化速度,,,强化速度
,7,-,9,魔導手榴彈,,,魔导手榴弹
,8,7,7,冰凍手榴彈,,,冰冻手榴弹
,9,8,8,閃光手榴彈,,,闪光手榴弹
0,5,,,其他,Other,その他,其他
1,0,,S E S E S E S L2 S E S E S,活動技能,Event Skills,コラボスキル,活动技能
,0,-,0,爆裂炎擊,Explosion,エクスプロージョン,爆裂炎击
,1,-,1,魔劍閃光,Light of Saber,ライト・オブ・セイバー,魔剑闪光
,2,-,2,流星飛錘,Morning star,モーニングスター,流星飞锤
,3,-,3,龍破斬,Dragslave,,龙破斩
,4,-,4,鐵管,,,
,5,-,5,復古弩,,,
,6,-,6,麥格農,,,
1,1,,SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SR H SR H SR H SR H S L V E V E V E V E V L,寵物技能,Pet Skills,ペットスキル,宠物技能
,0,-,0,破壞強襲,Raging Blow,バスターアタック,破坏强袭
,1,-,1,HP高升,HP Gain,HPアップ,HP高升
,2,-,2,吸收MP,Absorb MP,MP吸収,吸收MP
,3,-,3,退隱藏身,Hide,かくれる,退隐藏身
,4,-,4,魔力槍擊,Magic Lance,ソルシエルランス,魔力枪击
,5,-,5,暴擊高升,Critical Up,クリティカルアップ,暴击高升
,6,-,6,暴力重擊,Heavy Blow,ヘビーアタック,暴力重击
,7,-,7,迷蹤奇襲,Stealth Attack,スニークアタック,迷踪奇袭
,8,-,8,魔彈射擊,Magic Shot,マジックショット,魔弹射击
,9,-,9,陣風爆燃,Blast Flare,ブラストフレア,阵风爆燃
,10,-,10,環形治癒,Circle of Heal,クライスヒール,环形治愈
,11,-,11,越戰越勇,Encourage,ブレイブアップ,越战越勇
,12,-,12,急救（寵物）,First Aid (Pet),応急手当,急救（宠物）
,13,-,13,精神煥發,Clear Mind,マインドアップ,精神焕发
,14,-,14,療傷大法,Restore Health,ヒーリング,疗伤大法
,15,-,15,掃堂腿,Sweep Attack,スウィープアタック,扫堂腿
,16,-,16,高壓威逼,Clean Hit,ダウンブロウ,高压威逼
,17,-,17,激狂怒擊,Rage Attack,レイジアタック,激狂怒击
,18,-,18,有眼無珠,Blinding Shadow,ブラインドアイ,有眼无珠
,19,-,19,堅不可摧,Resistance Up,カットアップ,坚不可摧
,20,-,20,暈頭轉向,Stun Attack,スタンアタック,晕头转向
,21,-,21,替罪羔羊,Cover,かばう,替罪羔羊
,22,-,22,吸收HP,Absorb HP,HP吸収,吸收HP
,23,-,23,MP高升,MP Gain,MPアップ,MP高升
,24,-,24,破封穿心,Shield Break,シールブレイカー,破封穿心
1,2,,SB E SB E SB E SB E S L V E V E V E V L S E S E S E S L2 S E S E S,忍術表,Ninjutsu,忍術リスト,忍术表
,0,-,0,火遁術,Fire Release,火遁の術,火遁术
,1,-,5,火遁．爆炎陣,Blazing Explosion,火遁･爆炎陣,火遁．爆炎阵
,2,-,1,雷遁術,Thunder Release,雷遁の術,雷遁术
,3,-,6,雷遁．紫電一閃,Lightning Flash,雷遁･紫電一閃,雷遁．紫电一闪
,4,-,2,風遁術,Wind Release,風遁の術,风遁术
,5,-,7,風遁．劈甲,Skull Break,風遁･兜割り,风遁．劈甲
,6,-,3,水遁術,Water Release,水遁の術,水遁术
,11,-,8,水遁．急獺渦,Rapid Aqua Vortex,水遁･急瀬渦,水遁．急獭涡
,7,-,4,土遁術,Earth Release,土遁の術,土遁术
,8,-,9,分身術,Cloning,分身の術,分身术
,9,-,10,風魔手里劍,Demon Wind Shuriken,風魔手裏剣,风魔手里剑
,10,-,11,苦無飛鏢,Kunai Throw,クナイ投げ,苦无飞镖
